location.place,location.region,location.country,location.lat,location.lon,current.last_updated_epoch,current.temp_c,current.is_day,current.wind_mph,current.wind_degree,current.pressure_mb,current.precip_mm,current.humidity,current.cloud,current.feelslike_c
Mumbai,Maharashtra,India,18.98,72.83,1629766800,27,1,5.6,100,1008,0.1,94,75,30.6
Chennai,Tamil Nadu,India,13.08,80.28,1629766800,27,1,4.3,240,1008,0.2,84,25,29.8
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629766800,26.3,1,12.3,276,1007,0.6,66,70,27.9
Mumbai,Maharashtra,India,18.98,72.83,1629774900,28,1,3.8,120,1008,0.5,89,75,32.8
Chennai,Tamil Nadu,India,13.08,80.28,1629774900,29,1,5.6,240,1009,0.7,75,25,33.9
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629774900,25.7,1,10.1,286,1008,4,69,81,27.3
Mumbai,Maharashtra,India,18.98,72.83,1629774000,29,1,5.6,160,1008,0.1,84,75,35.3
Chennai,Tamil Nadu,India,13.08,80.28,1629774000,29,1,5.6,230,1009,0,75,25,33.9
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629774000,25.2,1,10.1,285,1009,1,71,81,26.9
Mumbai,Maharashtra,India,18.98,72.83,1629780300,29,1,10.5,240,1009,0.1,84,50,35.1
Chennai,Tamil Nadu,India,13.08,80.28,1629780300,32,1,6.9,240,1009,0.1,63,25,41
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629780300,25.8,1,12.5,281,1010,0.8,70,72,27.5
Mumbai,Maharashtra,India,18.98,72.83,1629783900,31,1,11.9,200,1009,0.3,71,50,40.4
Chennai,Tamil Nadu,India,13.08,80.28,1629783900,33,1,9.4,250,1008,0.2,59,50,42.2
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629783900,26.8,1,12.5,278,1010,1.9,65,79,28.5
Mumbai,Maharashtra,India,18.98,72.83,1629789300,30,1,11.9,260,1008,0.1,75,50,36.9
Chennai,Tamil Nadu,India,13.08,80.28,1629789300,33,1,5.6,240,1007,0,63,50,40.6
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629789300,29.2,1,11,272,1010,0.5,55,77,30.9
Mumbai,Maharashtra,India,18.98,72.83,1629788400,31,1,11.9,240,1008,0,71,75,39
Chennai,Tamil Nadu,India,13.08,80.28,1629788400,33,1,8.1,240,1006,0,63,25,39.1
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629788400,31.8,1,10.1,261,1010,0,45,30,33.5
Mumbai,Maharashtra,India,18.98,72.83,1629795600,30,1,11.9,240,1007,0,79,75,35.7
Chennai,Tamil Nadu,India,13.08,80.28,1629795600,35,1,9.4,230,1004,0,50,50,43.8
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629795600,34.9,1,8.1,254,1007,0,39,27,37.4
Mumbai,Maharashtra,India,18.98,72.83,1629801900,31,1,11.9,250,1006,0,66,50,38.2
Chennai,Tamil Nadu,India,13.08,80.28,1629801900,34,1,8.1,240,1003,0,56,50,41.7
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629801900,35.4,1,6.9,245,1006,0,36,23,37.7
Mumbai,Maharashtra,India,18.98,72.83,1629805500,30,1,11.9,270,1006,0.1,75,50,35.5
Chennai,Tamil Nadu,India,13.08,80.28,1629805500,34,1,6.9,170,1004,0,53,50,44
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629805500,35.2,1,5.8,239,1004,0.2,35,76,37
Mumbai,Maharashtra,India,18.98,72.83,1629816300,29,0,9.4,250,1007,0,79,50,33.4
Chennai,Tamil Nadu,India,13.08,80.28,1629816300,30,0,8.1,200,1006,0,79,25,35
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629816300,34.6,0,5.4,274,1004,0.3,35,81,36
Mumbai,Maharashtra,India,18.98,72.83,1629819900,28,0,8.1,240,1008,0,84,50,31.6
Chennai,Tamil Nadu,India,13.08,80.28,1629819900,30,0,9.4,190,1006,0.1,79,25,36.2
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629819900,33.7,0,5.8,276,1005,0,37,46,34.8
Mumbai,Maharashtra,India,18.98,72.83,1629823500,28,0,6.9,240,1008,0,84,50,31.8
Chennai,Tamil Nadu,India,13.08,80.28,1629823500,30,0,8.1,200,1007,0.3,79,25,35.9
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629823500,32.8,0,6.3,284,1005,0,38,44,33.8
Mumbai,Maharashtra,India,18.98,72.83,1629827100,28,0,3.8,220,1009,0,84,50,31.9
Chennai,Tamil Nadu,India,13.08,80.28,1629827100,30,0,5.6,240,1007,1.1,79,25,35.7
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629827100,32.2,0,6.7,296,1007,0.1,41,85,33.3
Mumbai,Maharashtra,India,18.98,72.83,1629828000,28,0,3.8,240,1008,0,84,50,32.2
Chennai,Tamil Nadu,India,13.08,80.28,1629828000,29,0,5.6,240,1007,0.1,79,50,33.6
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629828000,28.4,0,12.8,285,1007,0.6,61,51,30.5
Mumbai,Maharashtra,India,18.98,72.83,1629862200,28,1,5.6,240,1008,0.1,84,50,32.5
Chennai,Tamil Nadu,India,13.08,80.28,1629862200,30,1,11.9,260,1008,0.1,70,50,36
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629862200,24.3,1,16.3,252,1008,0.2,79,29,26.2
